tns_name,sub_num,repeater_name,catalog1_flag,is_repeater,lof_median_rank,eif_score,knn_median_rank,cblof_score,subspace_score,cad_median_rank
FRB20181025A,0,,1,False,3713.0,0.42087969084144744,2930.0,0.5699725384169965,992.9,3119.0
FRB20181027A,0,,1,False,455.0,0.4937362479442298,250.0,2.6232524616720614,3277.48,904.0
FRB20181028A,0,FRB20180814A,1,True,246.0,0.5006265395594435,510.0,2.0143433087710214,3636.92,503.0
FRB20181028A,1,FRB20180814A,1,True,270.0,0.49001475434468084,450.0,2.1416908682521285,3665.98,646.0
FRB20181028A,2,FRB20180814A,1,True,265.0,0.48622031574650626,514.0,2.0646746938637235,3531.36,761.0
FRB20181028A,3,FRB20180814A,1,True,205.0,0.4905356569316705,404.0,2.2076009576624824,3729.96,647.0
FRB20181030C,0,,1,False,2719.0,0.40584608233877845,2205.0,0.8865065018089762,2287.3,3077.0
FRB20181030A,0,FRB20181030A,1,True,143.0,0.5054453492809712,240.0,2.4626726459316477,3166.72,1757.0
FRB20181030B,0,FRB20181030A,1,True,134.0,0.4642591691661216,576.0,2.3487195143274775,3431.14,2386.0
FRB20181030D,0,,1,False,874.0,0.4298051557734478,1089.0,1.7540227893613127,2665.2,920.0
FRB20181030E,0,,1,False,861.0,0.4463003487570903,1131.0,1.463834517163525,2089.36,2335.0
FRB20181030E,1,,1,False,576.0,0.43183652754249147,806.0,1.7702324999377346,2906.86,2267.0
FRB20181101A,0,,1,False,485.0,0.4545890027226292,641.0,2.2089836504253086,2825.8,1700.0
FRB20181102A,0,,1,False,192.0,0.494155382480603,200.0,2.262017081038026,3294.6,481.0
FRB20181104A,0,FRB20180916B,1,True,2977.0,0.38711305875159596,2838.0,1.3264201998905982,1451.86,2541.0
FRB20181104B,0,FRB20180916B,1,True,1330.0,0.4216715097167229,2694.0,1.2654795578690254,2981.16,2233.0
FRB20181104C,0,,1,False,1429.0,0.5150232765473374,574.0,2.54191867208827,1602.02,195.0
FRB20181115A,0,,1,False,3324.0,0.41174016956363313,3633.0,1.0035961794766028,690.6,2671.0
FRB20181116A,0,,1,False,1932.0,0.42309105591673685,1534.0,1.6199622973583134,1825.94,895.0
