Name,is_repeater,RpName,DMfitb,Widthfitb,Scat,Flux,Fluence,SpInd,spRun,Fpk,Bandwidth
FRB20180904A,False,-9999,-0.6076686263960976,-0.7897265648166476,-0.8044831071089682,1.3847269144533152,0.17804428310771972,-0.11166343154045426,0.20606345610452045,0.06052010040775551,0.21153621283844887
FRB20180906A,False,-9999,-0.5083941822241792,0.221567136729714,0.09860378392311459,0.2552360946666672,-0.5722637172949668,-0.6904957184594026,0.5802204562058481,2.557566520790354,1.029623235573759
FRB20180906B,False,-9999,2.918079863584728,1.0444173248559345,0.92928337594132,-0.9385902304350197,-1.0336231499262523,-0.5589429259778235,0.389945334103871,-0.5661895894137597,0.18175375012226078
FRB20180907D,False,-9999,1.6902628051869857,0.7568594944116299,0.468831611037363,-0.3323207358004528,-0.023140730478127623,-0.549546297943425,0.5573874415536108,2.557566520790354,1.029623235573759
FRB20180907A,False,-9999,0.8616262354174555,-0.25126837635139376,-1.391863125562196,-0.3519193093572166,-0.540880231371573,-0.7891603128205871,0.48127739271282,-1.003283989559163,-0.3813209356056825
FRB20180907B,False,-9999,0.3860217424550677,-1.780928428527104,-0.22823860221607112,-0.15584978685924752,-0.5103119938200564,-0.713987288545399,0.48888839759689906,-1.003283989559163,0.5754406791518801
FRB20180907C,False,-9999,0.33496284929226605,-1.5104700676233698,-0.5046238586287431,-0.12946868870597036,-1.0430754977546928,-0.5636412399950227,0.5208546181100312,1.398509679671586,1.029623235573759
FRB20180907E,False,-9999,-0.5088086968438744,1.4301159390070288,0.6485934000020969,-0.49527760514872493,0.32038264283364337,-1.0146793856461513,0.5178102161563995,-1.003283989559163,-1.4264992365519316
FRB20180908B,True,FRB20180908B,-1.6258564044846475,0.5791053139678104,0.26770998558889464,-0.07781347649130264,-0.003361929139220167,1.8700854209141922,-0.5355528598001452,0.6338170325740274,-0.7368490842801859
FRB20180909A,False,-9999,-0.40305983361669073,1.881062782570169,1.3578473023741562,-0.9796829796400228,-1.2845112721447414,-0.6951940324766019,0.5391210298318211,-1.003283989559163,1.029623235573759
FRB20180910A,False,-9999,0.45068712830892865,-1.806861616471971,-1.4549097970822469,2.206898677505145,0.10880013674496802,-0.6787499334164045,0.5508419773533028,-0.8483869923589588,1.029623235573759
FRB20180915A,False,-9999,-0.5629341339601737,-0.34153955108170275,-0.42834913610224534,0.6944484544286477,0.21119608037471624,-0.3757086793070525,0.4203893536401873,0.5252110920083668,1.029623235573759
