tns_name,sub_num,is_repeater,repeater_name,catalog1_flag,dm_fitb,width_fitb,flux,fluence,sp_idx,sp_run,peak_freq,bandwidth
FRB20180904A,0,False,,1,361.07144720340096,0.0003791808279699,3.8,6.0,14.02832798974687,-25.76701491952666,525.40283203125,308.251953125
FRB20180906A,0,False,,1,383.2938414662378,0.0003868237366785,1.6,2.7,1.1136926171719874,2.199297059953799,800.18310546875,399.9755859375
FRB20180906B,0,False,,1,3037.860368524311,8.522023927294838e-05,0.36,1.5,3.711585586068033,-12.2937581172414,465.39306640625,317.2119140625
FRB20180907D,0,False,,1,1446.5373189021902,0.0015820016221207,0.89,4.9,20.812899246256272,-17.8438572307686,717.05322265625,299.51171875
FRB20180907A,0,False,,1,877.0772728575181,0.0001962869055236,0.87,2.8,14.710649754669124,-65.34516575200281,447.86376953125,140.13671875
FRB20180907B,0,False,,1,658.1922338951484,0.0002656984488978,1.08,2.9,0.6929893662063304,-5.9846988443242335,424.06005859375,388.28125
FRB20180907C,0,False,,1,638.3333849013429,0.0002445117030637,1.11,1.48,52.463953701897616,-53.45013146225217,653.74755859375,268.9453125
FRB20180907E,0,False,,1,382.47067578150495,0.0026771114945299,0.6773881424306257,4.955269440248365,12.197482882854308,-110.9584694724088,422.81494140625,88.1103515625
FRB20180908B,0,True,FRB20180908B,1,195.5239676244153,0.0018827653214336,1.6717917203006931,6.809678593805146,191.7186213312479,-244.8774982161152,591.93115234375,114.9658203125
FRB20180909A,0,False,,1,408.3021783419224,0.0002242289613921,0.33,1.02,-2.685572643961591,-0.3712285206039263,400.20751953125,399.9755859375
FRB20180910A,0,True,FRB20180910A,1,684.3992945639579,0.0003327193569677,6.5,5.6,1.1691384489379282,-1.396497694382375,608.23974609375,399.9755859375
FRB20180915B,0,False,,1,177.11028224815408,0.000833826510619,0.99,3.8,17.69009469819884,-192.71617372035948,418.98193359375,67.1630859375
FRB20180916A,0,False,,1,296.03651123735074,0.0003048151317692,2.4,4.5,3.9164863390524194,-9.526026501163066,491.54052734375,399.9755859375
FRB20180916C,0,False,,1,2251.4170078955635,0.0008966708592112,0.3731773116498311,2.247504322005461,44.00183017108639,-48.01218522581854,632.82470703125,279.345703125
FRB20180917B,0,False,,1,856.6964662827689,0.0014322007809837,1.03,8.3,2.984267000721765,-9.876765679332122,465.46630859375,354.1259765625
FRB20180917A,0,True,FRB20180814A,1,189.6137381098009,0.0015750499641102,0.9643000973940592,11.23426647025136,239.87572160661784,-182.42899434820976,772.32666015625,109.912109375
FRB20180917A,1,True,FRB20180814A,1,189.6137381098009,0.0021176682715509,0.9643000973940592,11.23426647025136,214.43720683779625,-189.6947884165009,704.28466796875,155.46875
FRB20180917A,2,True,FRB20180814A,1,189.6137381098009,0.0093718295981601,0.9643000973940592,11.23426647025136,119.44204590438244,-129.06822371362273,635.65673828125,170.2880859375
FRB20180918A,0,False,,1,1454.1379337959388,0.0008964334316775,1.45,4.1,12.075218105163506,-13.512431184996808,625.64697265625,386.1328125
FRB20180919B,0,False,,1,560.1749321919282,0.0003114876280394,2.0374688822763978,4.055349466954444,3.8562906305294113,-10.579494620712095,480.21240234375,365.4296875
FRB20180919A,0,True,FRB20180814A,1,188.9012119163705,0.0039796406255372,0.4935378489257974,1.8466292911358395,34.66074230315396,-209.38389566752295,434.72900390625,82.568359375
FRB20180920A,0,False,,1,555.6720862088019,0.0022422321912339,0.9331987308650562,7.081558897433468,38.83018932457282,-46.67355781377732,606.62841796875,271.6796875
FRB20180920B,0,False,,1,463.1048958147969,0.0021775374334348,0.4036588069238241,1.421906264440225,17.67313915231415,-179.76686527065834,420.34912109375,70.5078125
FRB20180921A,0,False,,1,394.3661493342023,0.001055582479262,1.08048264356366,4.5644672420836505,1.384280658031999,-10.92621808581641,426.35498046875,274.5361328125
FRB20180922A,0,False,,1,555.6024621973656,0.0003968643532963,2.6,7.7,-2.080960404305755,-11.904739496700689,400.20751953125,173.974609375
FRB20180924A,0,False,,1,1116.3219072284091,0.0006816432568308,1.2556157395177987,3.62609948314241,19.10861428651233,-16.7137575005702,708.82568359375,311.1328125
FRB20180925A,0,False,,1,236.92967421159327,0.0022720227998504,0.99,8.7,-0.9386236769843852,4.945184836824148,800.18310546875,399.9755859375
FRB20180925B,0,False,,1,668.0081303778755,0.0003773906037717,0.937321435087576,3.4475514613764995,25.579293303969468,-68.96836142496672,481.72607421875,177.001953125
FRB20181012B,0,False,,1,715.1820163624882,0.0010129106243561,0.3834185213520389,2.062877205203899,20.29862987808505,-146.91576483058986,428.82080078125,85.791015625
FRB20181013A,0,False,,1,309.32296162385774,0.0002191059782533,2.5762367432062487,3.2981925233167084,0.4749952293099217,-3.7020595152608617,426.72119140625,399.9755859375
FRB20181013E,0,False,,1,345.16130781341127,0.0004487096551769,0.62,2.03,13.968370918910392,-62.63993649866123,447.39990234375,141.7236328125
FRB20181013B,0,False,,1,277.860867595765,0.0031416596050318,2.1244336392572825,117.90778483122313,0.1030835131593191,-5.095056508120065,404.26025390625,391.6015625
FRB20181013C,0,False,,1,1005.683812019409,0.0001087048450686,0.44,1.64,-4.310698872314565,-1.0468881488501756,400.20751953125,245.60546875
FRB20181014A,0,False,,1,1313.716502239089,0.0005053838716435,1.099841429177285,4.553809209828788,100.79890589289928,-85.16473700308629,723.22998046875,186.5966796875
FRB20181014B,0,False,,1,887.8584769429165,0.0005590480499801,0.65,1.88,3.4605947350676645,-8.679237200546849,488.48876953125,399.9755859375
FRB20181014C,0,False,,1,752.3095952006946,2.8409126266441037e-05,0.5008770278871254,1.620785338430014,14.366096964318896,-26.590744412227146,524.30419921875,303.4912109375
FRB20181014D,0,False,,1,377.0372093311789,0.0006288260322114,7.185178756299596,19.87456301404796,39.13017491752832,-42.17646791567618,636.41357421875,296.3623046875
FRB20181015A,0,False,,1,568.799741210431,0.0007374218853036,1.51,3.4,3.489323179830909,-6.458038731152907,524.32861328125,399.9755859375
FRB20181017B,0,False,,1,306.8901895159143,0.0039931075081323,1.0659002833169149,6.410122316612111,68.81948611009503,-86.3273749184483,596.17919921875,195.5810546875
FRB20181017A,0,True,FRB20181017A,1,1281.4495669322953,0.0018006491035032,0.66,16.0,16.513107656636482,-30.48718132797781,524.67041015625,290.4052734375
FRB20181018B,0,True,FRB20181018B,1,293.81124543587526,0.0004098738790699,5.1,7.9,6.182615901660531,-8.64410729914179,572.25341796875,399.9755859375
FRB20181018A,0,False,,1,1128.966904550911,0.0036549725992112,1.503118714748711,19.54176578997264,2.107953079975937,-1.1837063389787583,800.18310546875,399.9755859375
FRB20181018C,0,False,,1,411.1591723561061,0.0002845312165713,2.3021040911089363,3.1197184419150483,-0.6201096357272271,-7.881621160218178,400.20751953125,261.3037109375
FRB20181019A,0,True,FRB20180916B,1,349.90808052137254,0.0030867606623243,0.81,10.4,236.1840478414088,-219.81649528485883,684.82666015625,140.4052734375
FRB20181019A,1,True,FRB20180916B,1,349.90808052137254,0.0011447509833203,0.81,10.4,131.04102455547022,-139.77537158707185,639.51416015625,164.599609375
FRB20181019B,0,False,,1,725.0794893946677,0.0011559934001379,0.72,2.7,2.20709722374085,-7.891476146536791,460.26611328125,389.7216796875
FRB20181019C,0,False,,1,501.72051460273394,0.0005046420132088,1.0162347697339476,2.505874072810981,92.03692083348506,-76.7871170328735,728.69873046875,187.353515625
FRB20181020A,0,False,,1,1112.1412764297047,0.0014033802837226,0.6685695679466508,3.763048847945341,-1.1435312761811032,-3.983441393770133,400.20751953125,351.3427734375
FRB20181022C,0,False,,1,528.3938586107068,0.0012822551355912,0.91,3.2,4.831668482622883,-15.520617586976432,467.59033203125,287.0849609375
FRB20181022D,0,False,,1,514.1071626402244,0.0003518975527805,2.781481791729892,7.806727591035133,95.61836483910916,-82.6722327052786,713.53759765625,196.2890625
FRB20181022E,0,False,,1,285.9108314364485,0.0003197575996294,0.69,2.08,10.699613947896468,-55.14105983475149,440.97900390625,140.72265625
FRB20181025A,0,False,,1,592.5497011934907,0.0006856686200542,1.1250814381856309,2.904428543174387,-2.6867881759196064,0.0908071595486414,400.20751953125,399.9755859375
FRB20181027A,0,False,,1,727.765271063394,0.0013898386971446,2.909813067136855,11.77123683742705,56.96268716554513,-41.91844744459853,789.48974609375,175.634765625
FRB20181028A,0,True,FRB20180814A,1,188.75299607289392,0.0041676277131289,1.7521707514793063,32.28371670389954,97.03487327435944,-257.43193457190984,483.19091796875,91.50390625
FRB20181028A,1,True,FRB20180814A,1,188.75299607289392,0.0020104544791996,1.7521707514793063,32.28371670389954,105.63975449565125,-336.7320152552367,468.15185546875,77.490234375
FRB20181028A,2,True,FRB20180814A,1,188.75299607289392,0.002519831143562,1.7521707514793063,32.28371670389954,65.01551336020292,-274.05320520447793,450.59814453125,82.6904296875
FRB20181028A,3,True,FRB20180814A,1,188.75299607289392,0.0020293517563572,1.7521707514793063,32.28371670389954,54.16171396335175,-370.3107337284498,430.55419921875,65.673828125
FRB20181030C,0,False,,1,668.7294923509937,0.0004539786205926,2.491665808130401,5.583102566902104,12.151509631663716,-21.93167207586266,527.94189453125,329.7607421875
FRB20181030A,0,True,FRB20181030A,1,103.58897226454428,0.000426359845729,0.8934015347070092,2.2784127848257225,38.41977123066903,-40.162502592311206,645.64208984375,291.9921875
FRB20181030B,0,True,FRB20181030A,1,103.47847143755295,0.001154480485994,1.4861635961270143,4.959344773111501,56.33639551508157,-98.24717605015918,533.06884765625,163.8427734375
FRB20181030D,0,False,,1,289.4924705367226,0.0006943939690683,2.3269256839124477,5.6355008557576864,3.868260270759574,-4.299882863369252,627.50244140625,399.9755859375
FRB20181030E,0,False,,1,159.7133571280553,0.0004431783063527,2.563719579726163,8.48577287309669,25.45906929831241,-71.84658211261471,477.77099609375,171.2158203125
FRB20181030E,1,False,,1,159.7133571280553,0.0014049403473303,2.563719579726163,8.48577287309669,21.43800216871826,-56.54682195027212,483.72802734375,191.650390625
FRB20181101A,0,False,,1,1471.7576782713547,0.0016912461660611,0.5425647586297528,15.30614917655945,32.590016772097265,-78.39928354331872,492.63916015625,169.6533203125
FRB20181102A,0,False,,1,414.6011516162708,3.153228912074904e-05,1.4110520610957578,3.0968009904181417,41.2234197001699,-39.108821115373175,677.89306640625,268.3349609375
FRB20181104A,0,True,FRB20180916B,1,349.3950925100448,0.0008812913477166,1.479280682784092,5.021904047973811,64.42619711262624,-111.59115745506496,534.11865234375,153.955078125
FRB20181104B,0,True,FRB20180916B,1,350.0380421742416,0.0064870827123049,0.3191208200240721,4.445074306520098,8.24183357839323,-56.838626128558246,430.28564453125,126.0009765625
FRB20181104C,0,False,,1,580.781687263063,0.0003083122389043,9.959387901788752,18.46967696624004,4.680879362150654,-8.18601576541196,532.65380859375,399.9755859375
