Name,is_repeater,RpName,DMfitb,Widthfitb,Scat,Flux,Fluence,SpInd,spRun,Fpk,Bandwidth
FRB20190101A,False,-9999,854.609,0.0013,0.0181,0.6,11.3,-2.25,-2.3,400.2,346.90000000000003
FRB20190101B,False,-9999,1323.9056,0.00032,0.00516,1.02,4.4,41.7,-36.1,713.6,245.9000000000001
FRB20190102A,False,-9999,699.1727,0.000824,0.000986,1.12,4.2,28.9,-67.8,495.2,183.60000000000002
FRB20190102B,False,-9999,367.1642,0.000851,0.00093,1.71,3.9,0.6,-4.4,428.8,400.00000000000006
FRB20190103B,False,-9999,541.129,0.00583,0.0054,0.68,12.9,7.7,-16.3,507.0,338.2
FRB20190103C,False,-9999,1349.133,0.00193,0.00076,2.3,13.4,10.6,-17.3,543.7,382.8
FRB20190103A,True,FRB20181119A,364.5627,0.00254,0.0027,1.11,5.4,34.0,-25.5,780.0,222.70000000000005
FRB20190103D,False,-9999,1913.5509,0.00087,0.00102,0.45,1.17,-5.2,1.2,400.2,257.2
FRB20190103E,False,-9999,736.245,0.00103,0.00159,0.46,2.0,2.8,-4.4,547.3,400.00000000000006
FRB20190104A,False,-9999,549.4329,0.000197,0.000155,1.45,3.9,6.0,-10.5,531.9,400.00000000000006
FRB20190104A,False,-9999,549.4329,0.0008,0.000155,1.45,3.9,-1.6,1.3,400.2,400.00000000000006
FRB20190104B,False,-9999,530.137,0.00188,0.0023,2.7,9.5,-3.6,7.5,800.2,400.00000000000006
FRB20190105A,False,-9999,383.551,0.0039,0.0049,0.6,3.5,-1.9,3.6,800.2,400.00000000000006
FRB20190106A,False,-9999,340.061,0.00094,0.0058,0.27,0.81,9.0,-5.0,800.2,306.70000000000005
FRB20190106B,False,-9999,316.5941,0.000578,0.0006,1.7,3.8,16.58,-68.0,452.1,143.3
FRB20190107A,False,-9999,849.19,0.0259,0.0204,0.49,6.3,-4.3,-0.4,400.2,266.7
FRB20190107B,False,-9999,166.0939,0.000451,0.0005,2.8,4.3,-1.3,-3.1,400.2,385.09999999999997
FRB20190109A,False,-9999,324.604,0.00165,0.0022,1.19,6.4,6.1,-8.1,583.0,400.00000000000006
FRB20190109A,False,-9999,324.604,0.0034,0.0022,1.19,6.4,4.6,-8.5,523.6,400.00000000000006
FRB20190109B,False,-9999,175.168,0.00034,0.000261,1.2,3.0,2.5,-65.0,408.1,92.19999999999999
FRB20190110A,False,-9999,472.7526,0.000203,0.000381,1.54,3.8,6.3,-118.0,411.0,72.5
FRB20190110B,False,-9999,486.118,0.00075,0.00324,0.47,1.9,0.2,-5.0,407.8,400.00000000000006
FRB20190110C,False,-9999,221.961,0.00039,0.000217,0.64,1.4,24.5,-186.0,427.4,77.5
FRB20190111A,False,-9999,171.96819,0.00036,0.000535,3.6,17.0,6.35,-6.78,638.9,400.00000000000006
