tns_name,sub_num,is_repeater,repeater_name,catalog1_flag,dm_fitb,width_fitb,flux,fluence,sp_idx,sp_run,peak_freq,bandwidth
FRB20180904A,0,False,,1,-0.5039883559137077,-0.6553609838903712,1.843838842809091,0.3710651986980116,0.2109906296086379,0.02716315937965047,0.22436833542506082,0.5520223007498557
FRB20180906A,0,False,,1,-0.40626578165828825,-0.6390307895813606,0.5640146990290154,-0.43664616105440246,-0.8063807329432686,2.6277740199832644,3.045587052765074,1.3237919233244106
FRB20180906B,0,False,,1,2.9808016921145177,-1.8769180660549691,-0.7887078973653379,-0.9333025401216933,-0.3906211116023022,0.43616606571454686,-0.39176277139162086,0.6274120935326243
FRB20180907D,0,False,,1,1.7667875142925369,0.5135447621521042,-0.10174495505720216,0.15448824523620652,0.4042286677957809,0.23227559156685795,2.192077525217962,0.4784813039753838
FRB20180907A,0,False,,1,0.9481529280444445,-1.1941677951545426,-0.12395206571466998,-0.4028616377981522,0.2340205392371055,-0.5032912457488565,-0.5717392297701308,-0.8625120673758792
FRB20180907B,0,False,,1,0.4784088072686092,-0.9463951002781806,0.09821397968951592,-0.3699547346267625,-0.9214946802854833,0.8122658592226015,-0.8161362310501408,1.225394891327282
FRB20180907C,0,False,,1,0.428282232879812,-1.0143959909352775,0.1281063575331656,-0.9434780529954263,0.8692194766623733,-0.38782346331232526,1.5421068336086636,0.22129323704343204
FRB20180907E,0,False,,1,-0.4097834369168043,0.944016462343845,-0.3508588355144887,0.16630042653375865,0.14360978440357183,-0.8090793494240549,-0.8289200741940183,-1.3002658777848162
FRB20180908B,0,True,FRB20180908B,1,-1.5076095574809736,0.6559727853313793,0.620872331990029,0.5097259714501523,1.5342703008070744,-1.2688249838650676,0.9074266210538068,-1.07430192121521
FRB20180909A,0,False,,1,-0.3028499934827023,-1.0852582387895373,-0.8352700222144771,-1.2033852078182488,-1.871138771247051,1.7636673117837838,-1.0610345595122637,1.3237919233244106
FRB20180910A,0,True,FRB20180910A,1,0.5422925964599855,-0.76232586843545,2.77544028148809,0.2965234324053206,-0.7929505073134631,1.4373995938020876,1.0748698998794957,1.3237919233244106
FRB20180915B,0,False,,1,-1.669444725706227,-0.010520131441812852,0.005879328450052497,-0.10690793868807852,0.32409010650304826,-1.1294825386343588,-0.8682742579898762,-1.4765177639091092
FRB20180916A,0,False,,1,-0.8289223555091846,-0.8340051212384686,1.1240020129923483,0.0655503633226732,-0.3685415273263606,0.572589075962021,-0.12330206537019446,1.3237919233244106
FRB20180916C,0,False,,1,2.4906125514753907,0.04894137954807547,-0.7685795469087696,-0.6019009885029386,0.7798503071388443,-0.32633571904506115,1.327288136073311,0.3088029147694795
FRB20180917B,0,False,,1,0.9096840038718185,0.4321400758478525,0.047421967446728205,0.7309811185201164,-0.4775870930321502,0.5534338102071026,-0.39101078061845157,0.9380098229264829
FRB20180917A,0,True,FRB20180814A,1,-1.5578303417614559,0.5099409923011919,-0.021254668822755274,1.0783832625345382,1.649959591405064,-1.0975942685499958,2.759579895369698,-1.116824229406036
