type,strength,method,mean_rec,std_rec
C_collective,2.0,eif,0.0,0.0
C_collective,2.0,knn,0.0,0.0
C_collective,2.0,lof,0.2,0.447213595499958
C_collective,2.0,subspace,0.0,0.0
C_collective,2.0,subspace_max,0.0,0.0
C_separated,0.25,cad,0.0,0.0
C_separated,0.25,cblof,0.1625,0.36336104634371585
C_separated,0.25,eif,0.0,0.0
C_separated,0.25,knn,0.0,0.0
C_separated,0.25,lof,0.0,0.0
C_separated,0.25,subspace,0.0225,0.016298006013006624
C_separated,0.25,subspace_max,0.005,0.006846531968814577
C_separated,0.5,cad,0.0,0.0
C_separated,0.5,cblof,0.2,0.4472135954999579
C_separated,0.5,eif,0.03,0.0670820393249937
C_separated,0.5,knn,0.0,0.0
C_separated,0.5,lof,0.0,0.0
C_separated,0.5,subspace,0.0225,0.013693063937629152
C_separated,0.5,subspace_max,0.01,0.016298006013006624
C_separated,0.75,cad,0.0,0.0
C_separated,0.75,cblof,0.395,0.5409482415166907
C_separated,0.75,eif,0.0,0.0
C_separated,0.75,knn,0.0,0.0
C_separated,0.75,lof,0.0,0.0
C_separated,0.75,subspace,0.034999999999999996,0.010458250331675944
C_separated,0.75,subspace_max,0.0325,0.016770509831248424
C_separated,1.0,cad,0.0,0.0
C_separated,1.0,cblof,0.6,0.5477225575051662
C_separated,1.0,eif,0.21750000000000003,0.43261559148971973
C_separated,1.0,knn,0.0,0.0
C_separated,1.0,lof,0.0,0.0
C_separated,1.0,subspace,0.04,0.027099354235848496
C_separated,1.0,subspace_max,0.0325,0.006846531968814576
C_separated,1.5,cad,0.0,0.0
C_separated,1.5,cblof,1.0,0.0
C_separated,1.5,eif,0.2,0.447213595499958
C_separated,1.5,knn,0.0,0.0
C_separated,1.5,lof,0.0,0.0
C_separated,1.5,subspace,0.04,0.025617376914898998
C_separated,1.5,subspace_max,0.052500000000000005,0.022360679774997894
C_separated,2.0,cad,0.0,0.0
C_separated,2.0,cblof,0.8,0.4472135954999579
C_separated,2.0,eif,0.675,0.39794393449329013
C_separated,2.0,knn,0.0,0.0
C_separated,2.0,lof,0.0,0.0
C_separated,2.0,subspace,0.0375,0.019764235376052368
C_separated,2.0,subspace_max,0.0425,0.03708099243547831
D_subspace,0.25,cad,0.07,0.02738612787525831
D_subspace,0.25,cblof,0.11000000000000001,0.06519202405202648
D_subspace,0.25,eif,0.06000000000000001,0.041833001326703784
D_subspace,0.25,knn,0.18,0.1036822067666386
D_subspace,0.25,lof,0.16,0.0821583836257749
D_subspace,0.25,subspace,0.13,0.07582875444051551
D_subspace,0.25,subspace_max,0.62,0.057008771254956916
D_subspace,0.5,cad,0.04,0.041833001326703784
D_subspace,0.5,cblof,0.06,0.0651920240520265
D_subspace,0.5,eif,0.02,0.027386127875258306
D_subspace,0.5,knn,0.13,0.07582875444051551
D_subspace,0.5,lof,0.16999999999999998,0.0570087712549569
D_subspace,0.5,subspace,0.25,0.04999999999999999
D_subspace,0.5,subspace_max,0.67,0.12549900398011132
D_subspace,0.75,cad,0.05,0.03535533905932738
D_subspace,0.75,cblof,0.06000000000000001,0.041833001326703784
D_subspace,0.75,eif,0.04,0.041833001326703784
D_subspace,0.75,knn,0.24,0.0821583836257749
D_subspace,0.75,lof,0.27,0.1604680653588121
D_subspace,0.75,subspace,0.16999999999999998,0.0758287544405155
D_subspace,0.75,subspace_max,0.72,0.12041594578792293
D_subspace,1.0,cad,0.06999999999999999,0.0570087712549569
D_subspace,1.0,cblof,0.07,0.044721359549995794
D_subspace,1.0,eif,0.05,0.035355339059327376
D_subspace,1.0,knn,0.38,0.12041594578792297
D_subspace,1.0,lof,0.44000000000000006,0.12942179105544785
D_subspace,1.0,subspace,0.26,0.10839741694339401
D_subspace,1.0,subspace_max,0.8400000000000001,0.06519202405202652
D_subspace,1.5,cad,0.11000000000000001,0.05477225575051661
D_subspace,1.5,cblof,0.18,0.0670820393249937
D_subspace,1.5,eif,0.13,0.09082951062292473
D_subspace,1.5,knn,0.5599999999999999,0.06519202405202648
D_subspace,1.5,lof,0.6,0.09999999999999998
D_subspace,1.5,subspace,0.5,0.06123724356957945
D_subspace,1.5,subspace_max,0.85,0.07905694150420943
D_subspace,2.0,cad,0.09000000000000001,0.07416198487095664
D_subspace,2.0,cblof,0.25,0.06123724356957944
