Name,RpName,is_repeater,maha_score,lof_median_rank,eif_score
FRB20180904A,-9999,False,13.766915227116835,424.0,0.3926044901775541
FRB20180906A,-9999,False,116.33642526281909,294.0,0.42748536225900824
FRB20180906B,-9999,False,12.831431648912922,35.0,0.47996234049328246
FRB20180907D,-9999,False,66.54383520487147,149.0,0.44620721818921777
FRB20180907A,-9999,False,11.210035248050072,227.0,0.40039882513283664
FRB20180907B,-9999,False,6.650545784769304,234.0,0.40856328992482344
FRB20180907C,-9999,False,28.733448357889955,230.0,0.4216435684050597
FRB20180907E,-9999,False,27.678651499538592,143.0,0.4239670485829454
FRB20180908B,FRB20180908B,True,894.982413221111,436.0,0.4153286667820675
FRB20180909A,-9999,False,19.85725236693298,26.0,0.47121200094077126
FRB20180910A,-9999,False,16.16526522267256,122.0,0.45433351655860565
FRB20180915A,-9999,False,2.782459547801031,452.0,0.3790902916527705
FRB20180915B,-9999,False,52.185035257715214,36.0,0.4766589775342424
FRB20180916A,-9999,False,11.507055083836317,93.0,0.46919650372808885
FRB20180916B,FRB20180916B,True,1220.772780899641,425.0,0.42616188920520054
FRB20180916C,-9999,False,936.7898258989875,29.0,0.5006519628501459
FRB20180917B,-9999,False,2.5447246613666685,365.0,0.38639785771568524
FRB20180917A,FRB20180814A,True,1193.227534560832,22.0,0.5535378715186139
FRB20180917A,FRB20180814A,True,1585.54657081255,63.0,0.5225608670888159
FRB20180917A,FRB20180814A,True,1685.9788420395298,46.0,0.5376261195757583
FRB20180918A,-9999,False,29.831671413751764,222.0,0.4077505259947461
FRB20180919B,-9999,False,4.120276716158132,461.0,0.38190580676244607
FRB20180919A,FRB20180814A,True,7636.735624854947,87.0,0.4842450338671325
FRB20180920A,-9999,False,80.40816611369503,450.0,0.39647024592768
FRB20180920B,-9999,False,4014.1223789301357,323.0,0.4160253506102527
FRB20180921A,-9999,False,3.357875316466147,470.0,0.3761318896012022
FRB20180922A,-9999,False,19.236428633535272,135.0,0.41195521592517886
FRB20180923A,-9999,False,150.9333741644217,137.0,0.46169410671721284
FRB20180923D,-9999,False,1053.000798208346,59.0,0.5026273326339723
FRB20180923C,-9999,False,8.346625252290014,238.0,0.4116132853565748
FRB20180924A,-9999,False,32.49791460285381,273.0,0.4118219253873315
FRB20180925A,-9999,False,114.8406026180172,85.0,0.4871852340140175
FRB20180925B,-9999,False,40.26612799878114,529.0,0.367014578630271
FRB20181012B,-9999,False,5964.9516400434495,104.0,0.46026563230466533
FRB20181013A,-9999,False,5.3090747296309475,469.0,0.3891028637410821
FRB20181013E,-9999,False,14.729006942294598,420.0,0.3928280392059146
FRB20181013B,-9999,False,17.74365761091941,74.0,0.4941137220809745
FRB20181013C,-9999,False,7.593514479068168,307.0,0.4161704575943221
FRB20181014A,-9999,False,51.874112247446334,163.0,0.4309635904716496
FRB20181014B,-9999,False,4.06384369181556,530.0,0.3680298011337859
FRB20181014C,-9999,False,44.136060561780056,465.0,0.3751952919312593
FRB20181014D,-9999,False,40.8877643514014,139.0,0.46903277231527285
FRB20181015A,-9999,False,7.556255929169022,550.0,0.3740721486998448
FRB20181017B,-9999,False,1262.640345358334,423.0,0.4235358771197479
FRB20181017A,FRB20181017A,True,142.9529516728222,117.0,0.4720318270531502
FRB20181018B,-9999,False,6.39620292385711,310.0,0.4260081823099697
FRB20181018A,-9999,False,108.51337928160888,70.0,0.48316381010258413
FRB20181018C,-9999,False,4.8346677288563376,437.0,0.382883837657595
FRB20181019A,FRB20180916B,True,1701.991786019785,392.0,0.4303611495254735
FRB20181019A,FRB20180916B,True,408.5169740047304,436.0,0.4020908970256047
FRB20181019B,-9999,False,1.999123568251539,557.0,0.36457759955925595
FRB20181019C,-9999,False,136.09329779792586,283.0,0.4202185805798371
FRB20181020A,-9999,False,4.885278041717384,477.0,0.38586828502067155
FRB20181022C,-9999,False,3.3283080975903303,525.0,0.3738118770015891
FRB20181022D,-9999,False,140.22828306256682,220.0,0.43786666773779653
FRB20181022E,-9999,False,128.03872746244178,436.0,0.4034079478812232
FRB20181025A,-9999,False,7.038466707744986,402.0,0.41592248311456537
FRB20181027A,-9999,False,91.15480101591815,49.0,0.4734855808356405
FRB20181028A,FRB20180814A,True,2621.797191140498,52.0,0.5423680818961685
FRB20181028A,FRB20180814A,True,3014.3463997105237,75.0,0.5251452601671363
FRB20181028A,FRB20180814A,True,6267.803628680896,49.0,0.5362776087969215
FRB20181028A,FRB20180814A,True,12707.062212867993,35.0,0.5341847089336992
FRB20181028A,FRB20180814A,True,42501.746527792595,5.0,0.5822818491022114
FRB20181030C,-9999,False,8.076569558499143,507.0,0.37204754606157103
FRB20181030A,FRB20181030A,True,41.285523653905905,48.0,0.5134046204162043
FRB20181030B,FRB20181030A,True,67.05182659145298,77.0,0.4623361555307319
FRB20181030D,-9999,False,4.759797597611138,409.0,0.3976427159280163
FRB20181030E,-9999,False,235.2311532160676,210.0,0.41813173363210926
FRB20181101A,-9999,False,33.93351552202783,131.0,0.46005726917427053
FRB20181102A,-9999,False,114.22360623046087,288.0,0.4103696225424832
FRB20181104A,FRB20180916B,True,610.5906303393441,372.0,0.4197355566009094
FRB20181104B,FRB20180916B,True,436.6300924247865,211.0,0.4370355171620577
FRB20181104C,-9999,False,9.193482697760567,183.0,0.45878221745126013
FRB20181104C,-9999,False,14.299502005230966,146.0,0.4586309172743148
FRB20181115A,-9999,False,189.6130658193921,419.0,0.39688910413045725
FRB20181116A,-9999,False,4.974413942335105,400.0,0.3855130389799381
FRB20181116B,-9999,False,43.252234503316664,179.0,0.44466351785430236
FRB20181117C,-9999,False,1237.1591082555606,8.0,0.5201695556363657
FRB20181117A,-9999,False,104.72778878634155,223.0,0.4287826618025522
FRB20181117B,-9999,False,2.6752932346947915,378.0,0.38358259632841146
FRB20181117B,-9999,False,17.77075308492084,192.0,0.4000157175680402
FRB20181118A,-9999,False,24.253104136152903,273.0,0.41659785596655313
FRB20181118B,-9999,False,2.722191579620967,495.0,0.37237005363967923
FRB20181118C,FRB20180814A,True,1016.2342795026965,62.0,0.5024141599063705
FRB20181119B,-9999,False,14.806182297328355,20.0,0.5039483713630817
FRB20181119E,-9999,False,3.4002569022845095,512.0,0.3751598239208248
FRB20181119D,FRB20121102A,True,1937.5478802138184,302.0,0.4697421720649073
FRB20181119D,FRB20121102A,True,2305.3504113215126,122.0,0.49678808754894743
FRB20181119D,FRB20121102A,True,1778.3883624051311,144.0,0.5111381296459065
FRB20181119A,FRB20181119A,True,607.6598438588056,179.0,0.48428782592695685
FRB20181119C,-9999,False,7.672051361365276,363.0,0.3918781934662271
FRB20181120B,FRB20180916B,True,249.3280941594457,314.0,0.4045167827794919
FRB20181120C,FRB20180814A,True,829.4301952445487,270.0,0.44034737538722524
FRB20181122A,-9999,False,14.5406711728462,229.0,0.43127372708698947
FRB20181122B,-9999,False,12.52982930140716,90.0,0.5191029436267525
FRB20181123A,-9999,False,119.74774582267501,468.0,0.3851747708796484
FRB20181124B,-9999,False,141.1670909374502,98.0,0.46736355680547914
FRB20181124A,-9999,False,16.860431867792254,277.0,0.39552865907615037
FRB20181125A,-9999,False,343.0293855292765,478.0,0.3963647293464034
FRB20181125A,-9999,False,150.6722427348041,414.0,0.39161335199246905
FRB20181125A,-9999,False,536.6938657396443,421.0,0.4038650905546068
FRB20181126A,-9999,False,1176.4463081243766,109.0,0.4525149585203911
FRB20181127A,-9999,False,78.26571861823098,450.0,0.38344889509545804
FRB20181128A,FRB20181128A,True,1868.4528518028624,463.0,0.4469588332477386
FRB20181128A,FRB20181128A,True,37.41483584189016,400.0,0.3895060320062172
FRB20181128B,-9999,False,11.916202686506045,253.0,0.4067613489640788
FRB20181128D,-9999,False,19.704840562644396,31.0,0.4698587352426081
FRB20181128C,-9999,False,219.00326232388394,475.0,0.3896653109835695
FRB20181128C,-9999,False,120.21586908165466,26.0,0.47826506531685303
FRB20181129A,-9999,False,2.276364490095447,502.0,0.37792827311627497
FRB20181129B,-9999,False,1151.9803516205475,202.0,0.4850670290815375
FRB20181129C,-9999,False,5.039804193013415,475.0,0.3675935525883946
FRB20181130A,-9999,False,383.461165356892,320.0,0.4427485304750967
FRB20181201A,-9999,False,12.319939263277291,121.0,0.4793072978350772
FRB20181201B,-9999,False,3.667476490272324,530.0,0.3781001654346618
FRB20181202A,-9999,False,4.96014647162252,282.0,0.3837687197033858
FRB20181202B,-9999,False,4.809922206956551,422.0,0.37903323432930214
FRB20181202C,-9999,False,9.380153868297686,135.0,0.4069430001763395
FRB20181203A,-9999,False,99.32797623531927,116.0,0.4669237797689083
FRB20181203B,-9999,False,1252.1952895297431,322.0,0.4199182355040181
FRB20181203C,-9999,False,17.840322082167045,45.0,0.4708589739362773
FRB20181213A,-9999,False,2.662179424319894,555.0,0.3781068366472309
FRB20181213B,-9999,False,988.7832054738308,269.0,0.40819474733598604
FRB20181213C,-9999,False,4.964614293911826,498.0,0.3850820283794458
FRB20181214A,-9999,False,3988.5578939485035,111.0,0.46744928011056164
FRB20181214B,-9999,False,7.844493491383853,504.0,0.39812599881514554
FRB20181214C,-9999,False,3.003183105735654,516.0,0.38729816240736126
FRB20181214D,-9999,False,42.7731995525775,131.0,0.4347521865342028
FRB20181214F,-9999,False,761.3438548480734,76.0,0.46611437270365047
FRB20181215A,-9999,False,7.496686289942806,322.0,0.42224791529742556
FRB20181215B,-9999,False,4.753651892349303,443.0,0.38626235348307814
FRB20181216A,-9999,False,50.994341957144684,173.0,0.42722927550953577
FRB20181217A,-9999,False,13.56605244639681,289.0,0.4033523122125558
FRB20181218A,-9999,False,815.6509683294416,39.0,0.46905298524142186
FRB20181218B,-9999,False,3.410456865471902,520.0,0.38789448535667254
FRB20181218C,-9999,False,10.010684094181192,118.0,0.42904798876890204
FRB20181219B,-9999,False,125.76145249539873,7.0,0.5112000236435819
FRB20181219C,-9999,False,4.63916584461668,280.0,0.41896719894074547
