tns_name,sub_num,n_methods,driver,driver_rel_err,max_rel_err,dominance_ratio,corr_break_margin,cad_percentile,fit_flag
FRB20220407A,0,3,width_fitb,38.41373167934619,38.41373167934619,7.4224189237422635,-0.22968516879830408,0.9997566317838891,inspect_fit
FRB20210423B,0,3,width_fitb,8.163764376921845,8.163764376921845,2.7579578434319547,-0.3026366018219111,0.9890484302750061,inspect_fit
FRB20211108A,1,3,width_fitb,5.737295259425935,5.737295259425935,5.246492431629778,-0.05438464853648167,0.9958627403261134,inspect_fit
FRB20200127A,0,3,width_fitb,3.659445240816143,3.659445240816143,2.0771252167760106,-0.1027601289364587,0.9924555853005598,inspect_fit
FRB20200130B,0,3,width_fitb,2.1669332032519186,2.1669332032519186,2.1981981234325465,0.2212372717148825,0.9829642248722317,inspect_fit
FRB20201126C,0,3,flux,0.5973135871254749,0.5973135871254749,1.7299415431538876,-0.44545228115622504,0.9985397907033341,ok
FRB20230826A,1,3,width_fitb,0.568272054715911,0.568272054715911,2.8266055835054376,-0.28114215212385796,0.9926989535166707,ok
FRB20200429A,0,3,sp_run,0.4677499228981716,0.6111617301847658,1.0950756450179189,-0.3457603954519177,0.9885616938427841,ok
FRB20210512C,0,3,sp_run,0.3907014036321332,0.611474857559,1.0782266270452314,-0.36479232026269814,0.9912387442200049,ok
FRB20200705D,0,3,sp_run,0.3777451697864021,2.8103837668039655,1.1747567302739699,0.6109264421685952,0.9812606473594548,ok
FRB20210222C,0,3,sp_run,0.3541577876860146,0.9330130197572177,1.102680867771197,-0.4426497872332722,0.9858846434655634,ok
FRB20190104B,0,3,sp_run,0.2829482571431386,0.7632140281287614,1.0981979439529308,-0.25802746662395215,0.9715259187150158,ok
FRB20200723B,0,3,fluence,0.26006954438705615,0.292090296252196,3.008054584129733,-0.8408275498907409,0.9982964224872232,ok
FRB20221219D,0,3,sp_run,0.10600321436700538,0.6327539897163104,1.3772597229748194,-0.9006419390139175,0.990265271355561,ok
FRB20200122B,1,3,width_fitb,0.026585959942838355,7.415731873852593,1.6600809473894038,1.7403360370723586,0.9807739109272329,ok
FRB20210513C,0,3,peak_freq,,2.3307115743319837,1.1303196676402236,-0.12954719831282313,0.9871014845461182,no_error_column
FRB20211105D,0,2,width_fitb,8.335236496720384,8.335236496720384,2.252085287390524,-0.8670895194016912,0.9810172791433439,inspect_fit
FRB20201120B,0,2,width_fitb,4.371385706346394,4.371385706346394,2.216263976527567,-0.029728257305817074,0.9815040155755659,inspect_fit
FRB20190912F,0,2,width_fitb,4.08600598138062,4.08600598138062,2.5234297150049056,-1.4719635410810468,0.9919688488683378,inspect_fit
FRB20220124A,0,2,width_fitb,3.0145583524500883,3.0145583524500883,3.631304929439592,0.4724608707657767,0.9878315891944512,inspect_fit
FRB20190531E,0,2,sp_run,0.8970727640464897,35.926551070465784,1.0031335844010367,1.3747637305770324,0.9622779265027988,ok
FRB20220219A,0,2,width_fitb,0.6975010983535158,0.6975010983535158,1.6887325905855084,0.44647787017459795,0.9669019226089073,ok
FRB20190202A,0,2,flux,0.42283750246139484,0.437408549258987,1.8047808697435825,-0.22730303923678086,0.999513263567778,ok
FRB20190116C,0,2,flux,0.4085107002895867,0.4085107002895867,1.7870538795093673,-0.20171547280526247,0.9970795814066683,ok
FRB20190816B,0,2,flux,0.3536036904883825,1.2842698697452049,1.4697169875893734,-0.5807966170748334,0.9973229496227792,ok
FRB20210909B,0,2,flux,0.33628951565933735,0.33813061054195737,2.0364584173023648,0.28764146622031617,1.0,ok
FRB20210415C,0,2,fluence,0.29157505521032484,0.29157505521032484,1.0985602968757675,-0.6013249659756746,0.9987831589194451,ok
FRB20210206A,1,2,width_fitb,0.2895004156467195,0.32816855740756895,1.6536478511459525,0.21761350568921445,0.9754198101727914,ok
FRB20190216A,0,2,fluence,0.2788160211444696,0.6915270573360498,1.1125518380826205,-0.4210292038424831,0.9583840350450231,ok
FRB20220222B,0,2,fluence,0.26232122212163217,0.3146421689260811,1.311333306904491,-0.37162452812897817,0.9968362131905573,ok
FRB20190929C,1,2,sp_run,0.20094090334280162,0.5675283834339959,1.0744640304687614,-2.20885028055221,0.9732294962277926,ok
FRB20181119D,1,2,sp_idx,0.1998667861800858,0.6086956521739131,1.0430930535563678,-2.5357288288149937,0.9934290581650036,ok
FRB20230422A,0,2,sp_run,0.19601508302837442,0.792322790359561,1.3654611424422827,-0.8915137308925192,0.9505962521294719,ok
FRB20210925A,0,2,flux,0.1936628545337127,0.20225100617807107,1.1311118747158937,-1.00069575760951,0.9578972986128012,ok
FRB20201119A,0,2,sp_idx,0.12216811444999358,0.5859001694505541,1.126972942241735,-2.8416555996526265,0.9150644925772694,ok
FRB20180925A,0,2,peak_freq,,3.775963594242274,1.018627162303248,0.5085288508524659,0.9783402287661231,no_error_column
